,author,content,date,score
0,李紫兰,酒店位置好，服务员态度热情，特别是前台的**美女，登记住宿时还主动帮我升级为名仕阁豪华大床房，房间非常舒适，视野开阔。住宿的第一天，还有服务员特地上门询问，是否有特别的不妥之处需要照顾，还送了一盘简单的水果，下次来北京，还会住这里。,2017-08-15,5
1,心尊诚信,"在北京实在去的地方太多了，中秋不想去远郊，在去哪网看看哪个酒店还可以，无意中看到开元酒店，评分也比较高，关键是看房型，各种主题的亲子房，所以约定想来住住。
位置:  在西黄寺旁，有很大的免费停车场，很好找，门童服务也可以。
服务: 前台热情，一开始因为我定的两个房间，和前台说能安排一个楼层吗，这样方便，但一个实习生说不能，要两个楼层，瞬间感觉这么呆板，这时来了个高个老员工，马上说可以安排，只是有个房间要稍等一下，先开个房间休息😊，为这个服务点赞，并派人把房间卡送到房间，而且两个房间很近👍。
房间: 重点点评一下亲子房，真的很惊喜，细节很到位，各种玩具，还有个音乐🎶盒，孩子很喜欢，有各种儿童读书，墙壁画的各种动物，洗漱间有专用儿童牙刷，牙膏，浴缸有专用儿童沐浴液（这个很贴心，还是品牌），有儿童专用睡衣，拖鞋，很帅气。儿童的床比大人的床硬，可以看出酒店的用心，有儿童凳。这个方便给个五星好评。
早餐: 6:30-10:00  时间上可以看出这就是服务，早餐还是比较丰富的，但有可能是天气的原因，餐厅温度还是要提高，西餐培根、肉肠有点老了，建议少做，有蔬菜可以加到面、粉、馄饨里，这个不错，有西点也不错😊。
退房:中午12点，退房速度很快，服务很热情，整体评价很不错，浙江商人还是厉害，有很多明星和活动在这里举办过，希望能一直保持下去，有机会还会再来。",2018-09-24,5
2,lvbz1859,"酒店地理位非常方便交通也很好出门没多远就是地铁站在办理入住的时候前台小伙子***非常热情手续也很高效总体来说非常的好
【适合中国人，被子喜欢，公交站附近，马甸附近，位置不错，酒店安静，浴室宽敞，房间高级】",2019-02-15,5
3,mtir8945,环境典雅，装饰豪华，交通便利，而且受到了热情的服务，感谢前台的热情接待。对酒店印象深刻，有宾至如归的感觉。,2018-08-31,5
4,寇曼,每次去北京出差都会住开元歌华，交通便利，距离雍和宫，东直门，等等地方特别近。附近黄寺大街也有很多好吃的，酒店的早餐种类挺丰富的！酒店住房也很干净，服务员态度超好，每次的夜床服务也是很细心，总体感觉超棒，以后还会经常继续选择这家酒店。,2018-04-04,4
5,A嘉得,谢谢前台***服务很热情，房间住的很满意，干净卫生，棉织品很柔软，早餐丰盛。自助餐很不错的，朋友很喜欢，在店期间可以免费停车,2018-03-25,5
6,oswz9990,房间住的很喜欢，来北京都是歌华开元酒店，谢谢前台美女***送的小礼物，孩子很喜欢，早餐很丰盛，交通便利，免费停车的住店客人,2018-02-28,5
7,phww2516,"江浙一带的人，对开元的酒店，还是会有一定的品牌认可度的。在来北京前，家里人问我，北京有开元么？我查了一下，只找到了歌华开元，看网上评价不错，且离恭王府，鸟巢和水立方挺近，正好可以从八达岭回来看鸟巢夜景，入驻这家酒店方便，于是选择定了一晚。浙江人做服务不错，办入住时，前台的态度挺好，全程笑脸相迎，与我之前那个酒店服务员是天差地别，当知道我们有带个孩子，给升级成了商务大床房，和老人的房间挨得很近，挺方便的。大床房房间可真大，特别是卫生间，配了大镜子，空间感更大了，简直有一个房间这么大。孩子很兴奋，说好大好开心呀！不过我发现酒店里面有点味道，开窗通风后，好多了。
空调很足，有点干，南方人不适应，酒店给准备了加温器，开起来就好多了。我们刚开始预定了一晚，感觉不错就续住了，房间设施也比较齐全，唯一不足的是少配了个可以临时晾衣物的地方，这么大个卫生间，如果配个晾衣服的地方，对于连续住几天的客人会方便不少。酒店私密性还是可以的，进电梯要刷房卡。每天都会提供一小份水果。受前段时间全国一些五星级酒店不换床单的负面新闻影响，我很注意酒店卫生上的问题。歌华开元总体来说很不错，有些小细节还需要更加注意一些，如我们第一天住进去时，有一块用过的肥皂忘收了，浴缸里面擦得很干净，但边上有些水渍，其它都还不错的。
另外再提个建议，吹风机可以用再大点功率的，现在这个吹风机长发吹干有点久。国庆长假酒店入住的人很多，序秩还是很井然的，我们还在酒店里偶遇了边上小区的邻居，真是好巧，只能说住在这的浙江人太多了。另外，离酒店不远有家烤鸭店味道不错，还有家凉皮店，味道也很正，酒店一楼有杭帮菜，可以去尝尝。
每天送的水果
电梯口
门囗的服务员态度蛮好
外景
床头灯
窗外景色
超大卫生间
大床
周边美食",2017-10-07,5
8,dailie,酒店整体感觉很不错，前台王悦服务态度非常好，还免费帮我升级了高级大床房，因为订的酒店没有早餐，非常亲切地告诉了我酒店附近有早餐的地方，还送了果盘，总之酒店地理位置佳，服务好，值得推荐。,2017-08-16,5
9,服部,"设施环境都不错推荐前台**服务热情，点赞。
【被子喜欢，公园附近，安华桥附近，地板干净，位置不错，环境安静，浴室够大】",2019-04-13,5
